"sample","gender","birthyear","Q3","Q4","Q5","Q5_o1","Q5b_1","Q5b_2","Q5b_3","Q5b_4","Q5b_5","Q5b_o1","Q5b_o2","Q5b_o3","Q5b_o4","Q5c","Q6","Q7","Q8","Q9","Q10_1","Q10_2","Q10_3","Q10_4","Q10_5","Q10_6","Q11","Q13a","Q13b","Q13c","Q14_1","Q15_1","rand_q16","Q16","Q17","Q18","rand_q19","Q19a","Q19b","Q20","Q21_01","Q21_02","Q21_03","Q21_04","Q21_05","Q21_06","Q21_07","Q21_08","Q21_09","Q21_10","Q21_11","Q21_12","Q21_13","Q21_14","Q21_15","Q21_16","Q22","Q23_A","Q23_B","Q23_C","Q23_D","Q23_F","Q23_I","Q23_M","Q23_O","Q23_V","Q23_Æ","Q23_Ø","Q23_Å","Q24_1","Q24_2","Q25_A","Q25_B","Q25_C","Q25_D","Q25_F","Q25_I","Q25_M","Q25_O","Q25_V","Q25_Æ","Q25_Ø","Q25_Å","Q26_A","Q26_V","Q26_C","Q26_M","Q27","Q28","Q29","Q30","Q31","Q32","Q33_1","Q33_2","Q33_3","Q33_4","Q33_5","Q33_6","Q33_7","Q33_8","Q33_9","Q33_10","Q33_11","Q33_12","Q33_13","Q33_14","Q33_15","Q34_1","Q34_2","Q34_3","Q34_4","Q34_5","Q34_6","Q34_7","Q35_1","Q35_2","Q35_3","Q35_4","Q35_5","Q35_6","Q35_7","Q36_1","Q36_2","Q36_3","Q36_4","Q36_5","Q36_6","Q36_7","Q37","Q38","Q39","Q40","Q41_1","Q41_2","Q41_3","Q41_4","Q41_5","Q42","Q43_1","Q43_2","Q43_3","Q43_4","Q43_5","Q44_1","Q44_2","Q45","Q46","Q47_1","Q47_2","Q47_3","Q47_4","Q47_5","Q47_6","Q47_7","Q47_8","Q47_9","Q47_10","Q47_11","Q48_1","Q49_1","Q49_2","Q49_3","Q49_4","Q49_5","Q49_6","Q49_7","Q49_8","Q49_9","Q49_10","Q49_11","Q49_12","Q49_13","Q49_14","Q49_15","Q49_16","Q49_17","Q49_18","Q50","Q51_1","Q51_2","Q51_3","Q51_4","Q51_5","Q51_6","Q51_7","Q51_8","Q51_9","Q51_10","Q51_11","Q51_12","Q51_13","Q51_14","Q51_15","Q51_16","Q51_17","Q51_18","Q52_1","Q52_2","Q52_3","Q52_4","Q52_5","Q52_6","Q52_7","Q52_8","Q52_9","Q52_10","Q52_11","Q52_12","Q53","Q54","Q55","Q55a_1","Q55a_2","Q55a_3","Q56","Q57","Q58","Q59","Q60_1","Q60_2","Q60_3","Q61_1","Q61_2","Q61_3","Q61_4","Q61_5","Q62_1","Q62_2","Q62_3","Q62_4","Q62_5","Q62_6","Q62_7","rand_q63","Q63_1","Q63_2","Q63_3","Q63_4","Q63_5","Q63_6","Q63_7","Q63_8","Q63_9","Q63_10","Q63_11","Q63_12","Q63_13","Q63_14","Q63_15","Q63_16","Q63_17","Q63_18","Q63_19","Q64_0","Q64_A","Q64_B","Q64_C","Q64_D","Q64_F","Q64_I","Q64_M","Q64_O","Q64_V","Q64_Æ","Q64_Ø","Q64_Å","rand_q65","Q65_0","Q65_A","Q65_B","Q65_C","Q65_D","Q65_F","Q65_I","Q65_M","Q65_O","Q65_V","Q65_Æ","Q65_Ø","Q65_Å","rand_q66","Q66_0","Q66_A","Q66_B","Q66_C","Q66_D","Q66_F","Q66_I","Q66_M","Q66_O","Q66_V","Q66_Æ","Q66_Ø","Q66_Å","rand_q67","Q67_0","Q67_A","Q67_B","Q67_C","Q67_D","Q67_F","Q67_I","Q67_M","Q67_O","Q67_V","Q67_Æ","Q67_Ø","Q67_Å","rand_q68","Q68_0","Q68_A","Q68_B","Q68_C","Q68_D","Q68_F","Q68_I","Q68_M","Q68_O","Q68_V","Q68_Æ","Q68_Ø","Q68_Å","rand_q69","Q69_0","Q69_A","Q69_B","Q69_C","Q69_D","Q69_F","Q69_I","Q69_M","Q69_O","Q69_V","Q69_Æ","Q69_Ø","Q69_Å","rand_q70","Q70_0","Q70_A","Q70_B","Q70_C","Q70_D","Q70_F","Q70_I","Q70_M","Q70_O","Q70_V","Q70_Æ","Q70_Ø","Q70_Å","Q71_01","Q71_02","Q71_03","Q71_04","Q71_05","Q71_06","Q71_07","Q71_08","Q71_09","Q71_10","Q71_11","Q71_12","Q71_13","rand_q72","Q72_1","Q72_2","Q72_3","Q72_4","Q72_5","Q72_6","Q72_7","Q72_8","Q72_9","Q72_10","Q73_01","Q73_02","Q73_03","Q73_04","Q73_05","Q73_06","Q73_07","Q73_08","Q73_09","Q73_10","Q73_11","Q73_12","Q73_13","Q73_14","Q73_15","Q74","Q74_o1","Q75","Q76","Q77","Q77_o1","Q78","Q79","Q80","Q81","Q82","Q83","Q84","Q85_1","Q85_2","Q85_3","Q85_4","Q85_5","Q85_6","Q85_7","Q85_8","Q85_9","Q85_10","Q86","Q87","Q88","Q89","Q90","Q91","Q92","Q93","Q94","Q95","Q96","Q97","Q98","Q99","Q100","Q101","Q102","Q103","Q104","Q105","starttidspunkt","sluttidspunkt","cawi_papi","startdato","slutdato","lenght","region","kommunekode","kommunenavn","alder_på_valgdag","kon","udd","alderkat","parti22","q98_simpel","q102_simpel","samlet_simpel","q98_udvidet","q102_udvidet","samlet_udvidet","q98_socio","q102_socio","samlet_socio","Q6_problem","Q7_problem","Q8_problem","Q9_problem","weight_1","weight_2","weight_3","weight_4","weight_5","Løbenummer"
1,1,1992,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,3,1,1,1,0,0,0,3,1,2,2,2,2,0,,9,3,1,2,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,5,6,0,8,8,0,0,0,0,0,3,6,5,0,5,6,2,6,8,0,0,0,0,0,3,4,3,2,2,,,9,3,1,9,9,4,9,9,9,,,30,30,,30,30,30,30,15,6,9,28,2,1,,11,11,11,11,11,11,11,3,0,10,0,3,5,7,1,2,1,1,4,2,5,3,2,2,1,2,,3,3,1,2,1,2,5,5,4,5,2,2,1,5,1,4,3,5,1,5,5,1,3,,,4,2,1,5,1,1,1,3,2,5,5,1,5,5,4,5,5,5,5,5,5,3,5,5,5,2,,1,5,5,3,,5,,,,,3,2,2,,2,2,2,2,,,,4,2,1,3,1,5,2,5,,,,1,5,,1,5,5,1,1,1,2,2,3,3,3,2,2,2,3,3,3,2,2,3,3,1,1,2,,8,5,4,7,10,3,9,7,6,6,8,0,0,1,1,3,4,2,1,5,1,3,1,3,1,5,5,1,1,4,4,2,1,5,1,3,3,3,3,5,5,1,1,3,3,2,1,3,2,3,1,1,1,5,5,0,,,,,,,,,,,,,,1,5,3,2,4,5,2,5,3,3,3,3,1,1,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,5,5,1,,3,3,3,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,185,,22,1,2,12,20,2,1,4,1,1,1,1,1,1,3,3,,,1,1,2,,,2,8,1,8,2,,,2,1,1,1,2,,,,,9,"15:01:40","15:36:58","CAWI","2022-12-27","2022-12-27",35.3,1,101,"København",30,1,5,2,9,2,,2,4,,4,132,,132,291,430,170,3,1.25465407048342,1.07769875448258,1.01597258694055,0.799704347970679,1.24648539225261,1368
1,1,1992,2,4,1,2,1,1,1,1,0,2,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,2,,,1,7,1,1,9,3,2,,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,3,0,1,0,0,0,0,0,0,1,0,1,1,7,5,0,3,0,1,1,5,4,5,4,2,,,9,3,1,,9,9,9,9,,30,30,9,13,9,,9,,13,13,,9,,9,9,9,7,1,5,4,7,10,5,3,10,5,0,0,7,1,1,2,1,1,1,2,5,5,1,1,5,5,4,4,4,2,4,1,2,5,5,5,3,3,4,4,1,1,5,5,7,3,5,5,1,1,5,4,2,3,1,4,1,,1,5,3,5,5,1,4,,2,5,5,5,4,2,4,3,2,5,4,4,4,3,4,4,2,5,5,5,1,1,1,1,4,3,2,5,4,4,4,1,5,1,3,2,2,2,2,2,2,5,1,5,1,1,5,3,1,5,5,1,1,0,,,,,,,,,,,,,,,,,,,,7,5,5,9,9,3,9,7,6,6,7,0,0,0,,,,,,,,,,,,,,1,1,4,4,2,2,5,1,1,,2,,5,5,1,4,3,4,1,,5,4,,,3,,5,5,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,1,2,4,4,2,,4,2,,,,,,,0,0,0,0,0,1,1,0,1,0,0,0,0,0,,,,,,,,,,,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,175,,22,1,10,2,2,1,1,2,3,3,1,1,3,1,5,1,3,2,1,2,2,,,1,6,3,,2,,,2,5,,,,1,1,2,3,9,"08:48:08","09:37:40","CAWI","2022-11-02","2022-11-02",49.5333333333333,1,101,"København",30,1,2,2,9,7,3,3,10,5,5,31,135,135,660,400,650,340,1.00522011543565,1.07769875448258,0.822914438440607,0.803151716265759,1.24648539225261,1423
1,2,1992,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,2,1,1,2,4,3,0,,13,3,1,1,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,4,3,2,2,6,10,0,3,7,3,1,10,8,10,2,2,2,2,6,10,0,0,8,0,1,1,3,3,1,2,,,13,3,1,1,9,13,13,1,1,13,13,1,13,1,,13,13,1,1,,9,13,9,1,,4,5,5,8,10,10,5,10,5,10,3,10,8,10,2,1,3,2,5,2,4,2,1,3,2,4,3,1,3,4,2,2,2,2,1,5,5,5,5,3,3,2,5,5,7,2,1,5,1,1,,1,1,4,1,5,5,,1,1,,2,,2,1,1,2,5,5,5,2,2,1,3,2,4,5,1,5,5,5,5,2,1,1,1,1,4,3,2,1,5,4,1,2,2,1,5,1,5,1,1,1,4,4,1,1,5,1,1,5,5,5,1,2,5,5,1,1,1,3,3,3,3,3,3,1,2,1,3,3,3,3,3,3,,2,3,3,5,3,0,8,8,0,7,5,10,1,10,5,1,1,3,4,,,,4,,,1,,1,,5,1,1,3,3,,,5,1,2,5,3,,,,1,5,5,5,2,1,,,5,,,,5,4,0,,,,,,,,,,,,,,1,1,1,2,4,4,1,4,3,5,4,5,3,1,0,,,,,,,,,,,,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,20,,22,1,8,6,11,5,,4,2,1,1,2,1,1,1,1,1,1,1,4,1,1,3,,5,1,9,1,10,,1,1,1,1,3,,,,,1,"15:10:48","16:00:32","CAWI","2022-11-02","2022-11-02",49.7333333333333,1,101,"København",30,2,5,2,13,6,3,3,9,4,4,3,132,132,641,845,632,650,1.23841912658735,1.2325550295272,1.15456839356026,0.799704347970679,0.950831173929923,1671
1,1,1992,4,2,2,,,,,,,,,,,1,1,1,1,1,1,1,0,0,0,0,2,1,1,1,2,1,1,1,13,1,1,3,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,7,6,6,4,2,6,9,3,4,3,1,1,6,6,6,4,4,4,2,5,8,2,4,4,3,1,3,3,3,2,2,,,13,3,1,4,13,13,13,13,13,13,13,1,13,9,9,13,1,1,1,13,13,1,13,13,13,10,8,8,8,8,8,8,9,8,8,8,10,9,9,1,2,1,1,4,3,3,3,2,2,3,3,4,3,3,3,2,1,1,5,3,4,2,2,5,4,1,1,4,5,8,1,3,2,5,2,3,3,5,1,2,4,2,2,1,2,2,3,5,1,2,1,2,4,3,4,4,5,1,2,3,3,4,3,4,4,4,4,5,2,4,5,2,4,2,4,3,3,3,2,2,2,2,2,3,4,2,1,1,3,2,4,4,4,3,3,3,3,4,2,3,5,3,2,1,0,,,,,,,,,,,,,,,,,,,,3,6,8,3,2,9,2,3,4,3,3,6,7,1,1,3,3,2,1,3,2,3,1,2,1,3,3,0,,,,,,,,,,,,,,1,3,3,3,3,3,3,3,3,3,3,3,3,3,0,,,,,,,,,,,,,,1,3,2,1,4,4,2,5,4,3,4,2,2,2,1,4,4,3,4,4,3,4,4,3,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,2,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,1,,4,2,2,2,3,2,3,4,3,4,3,2,4,1,2,3,,5,1,11,2,,,1,3,1,2,4,,,,,13,"11:00:41","16:21:30","CAWI","2023-01-13","2023-01-13",,1,101,"København",30,1,3,2,13,1,,1,1,,1,11,,11,340,90,160,424,1.7304069281592,1.07769875448258,1.63614864486819,1.20374197367751,0.950831173929923,1764
1,1,1992,3,3,2,,,,,,,,,,,1,1,1,1,1,0,1,1,0,0,0,2,2,,,0,2,1,1,28,3,2,,2,2,,,,,,,,,,,,,,,,,28,0,0,0,0,2,0,0,0,0,0,7,7,1,0,0,0,0,0,0,0,0,0,0,0,7,7,5,5,5,5,2,,,28,3,1,28,28,30,28,29,30,28,29,29,13,28,28,28,28,28,28,29,29,28,28,28,28,10,10,10,10,10,10,10,8,7,10,0,5,6,8,2,1,2,2,5,5,1,1,5,4,3,3,,4,3,3,3,2,2,1,1,3,5,5,5,5,3,3,1,4,6,5,1,3,5,,,3,1,5,1,5,5,1,3,5,,5,3,1,1,1,1,3,5,5,3,,,,,,2,2,5,,,5,,5,,,,2,,3,5,5,5,4,4,2,4,3,4,3,2,2,1,4,4,1,1,5,4,4,,1,2,2,5,4,3,5,1,1,3,3,3,1,3,3,3,3,3,1,3,3,3,1,3,3,3,3,3,1,6,6,9,10,3,9,6,7,9,8,0,2,1,5,1,2,1,1,4,2,1,1,1,1,5,5,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,1,1,0,1,,,5,4,4,1,,,,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,179,,,1,10,2,2,4,1,2,2,3,1,1,2,1,1,1,1,1,1,3,1,,,,5,1,3,2,,,2,3,1,1,4,,,,,28,"08:28:39","09:17:01","CAWI","2022-11-28","2022-11-28",48.3666666666667,1,101,"København",30,1,3,2,28,1,,1,1,,1,11,,11,90,845,80,640,1.47043794609673,1.07769875448258,1.63614864486819,1.20374197367751,0.846962022485199,2440
1,2,1992,2,2,2,,,,,,,,,,,1,1,1,1,1,1,1,1,0,0,0,3,1,1,3,0,0,0,,29,1,1,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,28,4,0,0,0,2,2,0,0,0,0,7,7,3,0,4,,,,,,0,0,,,2,,4,,,4,2,,,29,3,1,30,30,30,30,30,30,,,29,30,30,30,28,30,,3,3,22,28,29,30,28,5,5,3,5,8,10,7,3,4,10,0,2,6,5,2,1,2,4,5,5,1,1,5,3,2,3,4,3,3,2,2,2,2,1,2,2,4,5,5,5,3,,3,5,5,4,2,1,2,5,,,1,5,1,5,5,2,3,5,,5,5,1,1,1,2,5,5,5,2,2,1,,3,3,5,1,5,1,4,5,1,3,2,2,5,1,4,3,4,5,5,3,3,3,2,,2,3,1,2,1,2,2,1,1,5,3,3,2,4,4,1,5,5,4,3,1,1,1,3,1,1,3,1,1,3,2,3,3,3,3,3,1,2,3,3,2,2,0,10,10,10,4,6,5,10,10,8,0,0,0,,,,,,,,,,,,,,1,4,4,,1,1,,2,3,1,,,5,5,0,,,,,,,,,,,,,,1,5,,,1,1,,3,3,1,,,5,5,1,2,,,,,,,,,,,1,1,1,2,,,5,5,3,4,3,5,,,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,4,5,5,1,3,4,1,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,175,,,1,2,8,14,7,1,4,2,1,1,1,1,3,3,3,2,1,1,4,2,,,2,11,1,10,1,14,,2,1,1,1,3,,,,,29,"15:57:39","16:38:19","CAWI","2022-11-18","2022-11-18",40.6666666666667,1,101,"København",30,2,6,2,29,2,,2,4,,4,132,,132,845,805,370,670,0.977046777411606,1.2325550295272,0.90190589927052,0.670769334876023,0.892438561025293,2530
1,1,1992,4,4,2,,,,,,,,,,,1,1,1,1,1,0,1,0,0,0,0,3,2,,,0,0,0,,32,3,1,2,,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,5,5,3,1,7,4,,2,4,0,7,7,7,3,1,,5,2,,7,7,1,5,0,5,,5,,,3,2,,,31,3,1,,,,,,,,,28,,,,,,,,,,,,,,6,6,5,5,5,4,5,4,4,6,4,4,11,11,2,1,2,2,4,5,2,2,2,3,3,3,,4,3,4,4,2,2,2,3,4,4,4,4,4,2,3,3,5,5,4,3,4,3,,4,,1,4,1,3,4,,4,5,3,4,3,1,2,3,3,5,5,5,2,2,1,,2,,3,1,5,2,5,2,5,5,3,2,5,1,3,2,3,5,5,3,3,,3,1,4,1,2,2,1,,3,2,2,5,3,2,4,3,2,3,4,5,4,2,1,1,,,,1,,1,1,,,3,3,,,1,1,,2,,3,3,4,5,7,10,3,8,5,8,7,10,0,2,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,1,4,3,3,3,2,4,2,3,2,3,,5,4,0,,,,,,,,,,,,,,1,2,3,3,4,4,2,4,3,,4,,1,2,1,2,,,,,,,,,4,,,,0,1,0,0,1,1,0,0,0,0,1,1,0,1,4,,5,5,5,1,,2,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,175,,,1,7,10,10,2,1,4,1,1,1,2,1,1,1,1,3,1,1,1,1,2,3,,5,1,10,1,14,,1,1,1,1,2,,,,,32,"17:10:42","18:16:35","CAWI","2022-11-07","2022-11-07",65.8833333333333,1,101,"København",30,1,6,2,88,2,,2,3,,3,132,,132,650,100,845,640,0.362641872823083,1.07769875448258,0.793640008482523,0.670769334876023,0.49961989553351,2690
1,2,1993,1,1,2,,,,,,,,,,,1,1,1,1,1,1,1,1,0,0,0,2,1,2,3,0,7,0,,1,2,1,1,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8,2,0,4,0,1,0,3,0,3,,9,2,5,3,0,0,2,1,1,1,4,0,2,,2,2,4,4,2,,,2,3,1,2,1,2,2,,,,,29,2,1,,2,,1,15,27,3,2,28,1,2,10,7,8,8,8,8,8,4,4,10,1,10,3,10,2,1,1,2,5,5,1,1,5,3,2,3,,3,3,2,4,2,2,3,1,5,5,5,3,4,5,4,2,5,7,2,4,1,3,4,1,,5,3,1,3,2,1,2,5,,3,3,1,1,1,2,5,4,5,2,3,3,,3,2,5,1,5,5,4,5,5,2,4,5,3,2,5,5,5,4,5,1,2,1,1,,5,3,1,1,2,4,2,2,1,5,5,1,,5,1,1,5,5,3,5,1,1,3,3,1,1,1,1,3,3,1,1,1,3,,1,1,3,2,,2,4,4,5,7,10,2,10,6,9,6,10,1,1,1,5,1,5,,1,,,,1,,1,,,1,4,4,3,2,1,4,1,3,4,2,1,5,,1,4,4,4,2,1,4,1,1,1,2,1,5,5,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,1,3,4,2,2,4,3,1,,5,3,5,,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,175,,,1,2,8,13,1,1,4,1,1,2,1,1,1,5,1,2,5,2,2,1,2,2,,11,1,10,1,15,,2,1,1,1,3,,,,,1,"21:27:13","22:33:24","CAWI","2022-11-22","2022-11-22",66.1833333333333,1,101,"København",29,2,6,1,1,3,,3,4,,4,132,,132,540,845,550,250,1.02313484149595,1.06008013556985,0.837480485582404,0.670769334876023,1.0302575976287,519
1,1,1993,4,2,2,,,,,,,,,,,1,1,1,1,1,1,1,1,0,0,0,2,1,1,2,0,2,0,,6,3,2,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,29,5,4,1,0,8,1,3,0,3,0,8,8,9,2,6,3,2,0,6,3,4,4,4,0,8,5,3,3,4,3,2,,,29,3,1,29,1,13,9,29,,30,28,29,1,28,,30,6,6,15,22,3,,28,1,1,5,5,3,5,7,7,8,2,3,8,2,3,5,6,2,1,4,2,3,2,4,2,3,2,2,4,3,3,4,3,2,2,2,1,2,3,5,4,5,3,3,5,3,3,2,4,3,5,2,5,3,2,3,5,1,3,2,3,3,2,,3,5,1,2,2,,4,5,5,1,2,3,,3,,4,2,5,3,4,4,3,2,5,4,2,1,3,4,3,4,4,2,2,2,2,,3,3,3,2,1,4,2,2,2,5,4,2,,3,3,2,,5,4,2,2,0,,,,,,,,,,,,,,,,,,,,3,5,4,8,10,3,10,6,8,7,10,1,3,1,4,2,5,2,1,4,2,3,1,3,1,5,5,1,5,4,4,2,1,5,1,2,4,2,1,5,4,1,3,3,4,2,1,4,2,3,2,2,1,5,5,0,,,,,,,,,,,,,,1,2,2,1,5,5,1,5,4,3,4,4,1,2,1,3,3,3,3,,3,2,3,5,4,5,3,3,1,1,0,0,1,0,0,0,0,0,1,1,0,0,,,,,,,,,,,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,175,,,1,2,7,12,3,1,4,3,1,3,1,2,1,3,1,5,5,1,2,1,,,,5,1,10,1,19,1,2,1,1,1,3,,,,,6,"12:01:54","09:59:48","CAWI","2022-11-29","2022-12-06",,1,101,"København",29,1,6,1,6,2,,2,3,,3,132,,132,670,845,630,562,0.826776345270386,1.25650067396567,0.887616550024883,0.670769334876023,0.767696207824072,1211
1,1,1993,3,4,2,,,,,,,,,,,1,1,1,1,1,1,1,1,0,0,0,3,1,2,2,0,0,0,,28,3,2,,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,,,,,0,6,0,1,0,1,0,8,8,,,0,,,4,,,0,0,,0,,,5,4,4,5,2,,,28,3,1,30,,,30,30,,,,30,,30,,,30,,30,,30,28,29,,30,5,5,3,3,3,5,5,3,6,7,5,5,4,6,2,1,2,3,3,5,,1,3,4,3,4,,4,3,2,4,2,2,2,2,3,4,3,3,,2,5,,,,5,,,3,,2,3,2,4,3,3,4,,3,5,,5,,1,3,2,2,2,3,4,1,,3,4,4,4,3,3,,5,1,4,2,5,3,5,2,2,1,2,5,4,4,4,4,4,3,,3,3,2,,1,4,3,3,3,2,,,,3,5,1,3,3,3,2,1,0,,,,,,,,,,,,,,,,,,,,,7,8,9,,3,7,5,7,8,9,3,3,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,1,4,,,,,4,,,,,,4,5,0,,,,,,,,,,,,,,1,1,4,4,4,5,2,5,4,5,5,5,2,1,1,4,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,1,1,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,179,,,1,4,,,1,1,1,5,4,2,3,1,2,5,,4,5,4,,1,1,3,,3,2,,2,,,1,11,,,,1,1,1,1,28,"14:06:16","15:42:23","CAWI","2023-01-13","2023-01-13",96.1166666666667,1,101,"København",29,1,1,1,28,6,7,7,9,10,10,2,31,31,650,690,90,9,1.90126016607678,1.25650067396567,2.06510916894793,1.46895930197386,0.846962022485199,2406
1,1,1993,4,2,2,,,,,,,,,,,1,1,1,1,1,1,1,1,0,0,0,2,2,,,0,7,1,1,28,1,1,3,,2,,,,,,,,,,,,,,,,,28,7,5,2,0,8,1,4,1,3,0,10,6,10,2,7,2,1,0,6,2,6,2,1,0,6,4,2,4,5,4,2,,,28,3,1,,28,1,1,28,1,6,28,28,1,28,,28,6,28,28,,3,,28,1,28,6,4,7,5,7,5,6,8,8,6,3,6,6,7,2,1,2,2,3,4,3,2,4,2,1,3,3,2,3,2,4,2,2,1,2,4,4,4,5,5,3,4,3,5,1,5,1,2,4,3,1,4,2,4,4,3,4,2,2,4,5,2,3,1,1,1,2,5,5,5,3,4,1,4,4,5,5,2,4,,5,4,4,4,5,4,2,1,3,4,3,,3,2,2,2,1,,2,2,2,2,1,4,4,1,1,5,3,2,5,4,2,2,2,5,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,5,4,1,0,7,0,3,2,3,3,9,10,1,4,3,4,3,1,5,3,2,1,3,1,5,4,1,4,3,3,1,1,4,1,3,4,2,3,5,5,1,5,3,3,2,1,5,2,3,2,2,1,5,5,0,,,,,,,,,,,,,,1,2,3,3,4,4,2,5,3,2,4,3,1,2,0,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,175,1,22,1,6,11,14,5,1,4,1,1,1,1,1,1,1,1,5,5,1,4,1,2,3,,5,1,10,1,14,,1,1,1,1,2,,,,,28,"12:32:34","18:23:37","CAWI","2022-11-14","2022-11-14",,1,101,"København",29,1,6,1,28,2,,2,3,,3,132,,132,845,650,250,200,0.818795729628441,1.25650067396567,0.887616550024883,0.670769334876023,0.846962022485199,2463
1,2,1993,4,2,2,,,,,,,,,,,1,1,1,1,1,1,1,0,0,0,0,3,1,1,3,4,3,1,1,29,2,2,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,3,4,1,0,5,0,2,0,3,0,7,8,7,4,2,3,2,0,4,1,2,0,2,0,5,6,4,4,4,4,2,,,29,3,1,28,,30,,30,,30,,30,30,,,30,,,15,22,30,28,29,6,,7,7,7,7,7,7,7,4,6,6,2,6,7,8,2,1,1,2,5,5,1,1,4,3,2,5,,3,4,3,2,2,2,2,3,4,5,5,5,4,2,3,1,3,7,4,3,4,3,2,,2,3,4,,5,3,,2,4,2,5,3,1,1,1,2,3,,4,2,,2,3,4,5,,1,5,5,3,3,2,4,3,,2,1,3,3,5,5,5,3,3,,3,2,4,2,2,,2,3,4,2,1,3,4,5,3,4,2,1,5,3,2,5,1,0,,,,,,,,,,,,,,,,,,,,3,5,3,7,7,4,7,5,4,5,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,0,0,0,0,1,1,0,0,,,,,,,,,,,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,179,,22,1,30,5,8,1,1,4,2,2,1,2,3,2,,2,3,,1,4,1,2,2,,5,1,5,1,6,,1,1,1,1,3,,,,,29,"19:58:49","20:41:15","CAWI","2023-01-20","2023-01-20",42.4333333333333,1,101,"København",29,2,3,1,29,3,,3,4,,4,133,,133,845,540,650,641,1.7731086766996,1.06008013556985,1.72652908994491,1.20374197367751,0.892438561025293,2521
